Comparaison
sans frott	avec frott
0.7027709025786477	0.7029142387611594
0.7017201532658529	0.7018662478088755
0.7006630698748151	0.7008119572640508
0.6995996602664604	0.6997513751797555
0.6985299323561496	0.6986845096629215
0.6974538941137375	0.6976113688743977
0.6963715535636319	0.6965319610290044
0.6952829187848525	0.6954462943955885
0.6941879979110892	0.6943543772970773
0.6930867991307609	0.6932562181105332
0.6919793306870733	0.6921518252672072
0.6908656008780771	0.6910412072525929
0.6897456180567257	0.6899243726064797
0.6886193906309324	0.6888013299230062
0.6874869270636274	0.6876720878507132
0.6863482358728152	0.6865366550925959
0.6852033256316311	0.6853950404061564
0.6840522049683969	0.684247252603456
0.6828948825666774	0.6830933005511665
0.681731367165336	0.6819331931706217
0.6805616675585898	0.6807669394378687
0.6793857925960648	0.6795945483837181
